phase,mag_G,mag_BP,mag_RP
0.0100,14.0508,14.5326,13.3911
0.0200,14.0374,14.5091,13.3829
0.0300,14.0203,14.4808,13.3717
0.0400,13.9993,14.4476,13.3573
0.0500,13.9741,14.4096,13.3395
0.0600,13.9449,14.3672,13.3185
0.0700,13.9121,14.3213,13.2946
0.0800,13.8764,14.2730,13.2682
0.0900,13.8386,14.2235,13.2402
0.1000,13.7999,14.1741,13.2112
0.1100,13.7612,14.1257,13.1821
0.1200,13.7234,14.0792,13.1535
0.1300,13.6870,14.0350,13.1257
0.1400,13.6522,13.9934,13.0991
0.1500,13.6192,13.9542,13.0736
0.1600,13.5879,13.9174,13.0493
0.1700,13.5582,13.8827,13.0261
0.1800,13.5299,13.8501,13.0038
0.1900,13.5029,13.8195,12.9825
0.2000,13.4774,13.7910,12.9620
0.2100,13.4533,13.7647,12.9425
0.2200,13.4308,13.7409,12.9239
0.2300,13.4102,13.7199,12.9066
0.2400,13.3918,13.7023,12.8906
0.2500,13.3762,13.6886,12.8764
0.2600,13.3637,13.6793,12.8641
0.2700,13.3549,13.6751,12.8541
0.2800,13.3503,13.6764,12.8467
0.2900,13.3502,13.6834,12.8422
0.3000,13.3546,13.6959,12.8406
0.3100,13.3634,13.7136,12.8418
0.3200,13.3758,13.7353,12.8455
0.3300,13.3911,13.7600,12.8512
0.3400,13.4080,13.7861,12.8583
0.3500,13.4254,13.8124,12.8660
0.3600,13.4424,13.8378,12.8738
0.3700,13.4584,13.8617,12.8813
0.3800,13.4730,13.8837,12.8883
0.3900,13.4863,13.9038,12.8946
0.4000,13.4982,13.9221,12.9005
0.4100,13.5090,13.9389,12.9058
0.4200,13.5191,13.9546,12.9109
0.4300,13.5286,13.9694,12.9157
0.4400,13.5377,13.9835,12.9205
0.4500,13.5467,13.9973,12.9254
0.4600,13.5556,14.0109,12.9304
0.4700,13.5645,14.0244,12.9356
0.4800,13.5737,14.0379,12.9410
0.4900,13.5830,14.0514,12.9468
0.5000,13.5925,14.0651,12.9528
0.5100,13.6023,14.0789,12.9592
0.5200,13.6124,14.0929,12.9659
0.5300,13.6227,14.1071,12.9730
0.5400,13.6334,14.1216,12.9804
0.5500,13.6443,14.1362,12.9882
0.5600,13.6555,14.1511,12.9964
0.5700,13.6671,14.1662,13.0050
0.5800,13.6788,14.1815,13.0140
0.5900,13.6908,14.1970,13.0233
0.6000,13.7030,14.2126,13.0329
0.6100,13.7153,14.2283,13.0429
0.6200,13.7278,14.2440,13.0531
0.6300,13.7403,14.2598,13.0635
0.6400,13.7530,14.2756,13.0742
0.6500,13.7657,14.2914,13.0850
0.6600,13.7785,14.3072,13.0961
0.6700,13.7914,14.3229,13.1073
0.6800,13.8043,14.3385,13.1187
0.6900,13.8173,14.3541,13.1303
0.7000,13.8304,14.3696,13.1421
0.7100,13.8436,14.3851,13.1541
0.7200,13.8568,14.4005,13.1663
0.7300,13.8702,14.4159,13.1787
0.7400,13.8837,14.4312,13.1913
0.7500,13.8973,14.4465,13.2041
0.7600,13.9110,14.4617,13.2170
0.7700,13.9248,14.4767,13.2301
0.7800,13.9385,14.4914,13.2433
0.7900,13.9522,14.5057,13.2565
0.8000,13.9656,14.5196,13.2696
0.8100,13.9787,14.5328,13.2824
0.8200,13.9914,14.5452,13.2949
0.8300,14.0034,14.5567,13.3070
0.8400,14.0148,14.5671,13.3185
0.8500,14.0254,14.5764,13.3293
0.8600,14.0351,14.5845,13.3395
0.8700,14.0438,14.5914,13.3490
0.8800,14.0517,14.5970,13.3577
0.8900,14.0586,14.6014,13.3657
0.9000,14.0645,14.6045,13.3729
0.9100,14.0694,14.6064,13.3794
0.9200,14.0734,14.6070,13.3852
0.9300,14.0763,14.6064,13.3901
0.9400,14.0783,14.6044,13.3944
0.9500,14.0791,14.6009,13.3977
0.9600,14.0788,14.5957,13.4001
0.9700,14.0771,14.5887,13.4015
0.9800,14.0737,14.5793,13.4015
0.9900,14.0685,14.5672,13.4001
1.0000,14.0610,14.5518,13.3967
1.0100,14.0508,14.5326,13.3911
1.0200,14.0374,14.5091,13.3829
1.0300,14.0203,14.4808,13.3717
1.0400,13.9993,14.4476,13.3573
1.0500,13.9741,14.4096,13.3395
1.0600,13.9449,14.3672,13.3185
1.0700,13.9121,14.3213,13.2946
1.0800,13.8764,14.2730,13.2682
1.0900,13.8386,14.2235,13.2402
1.1000,13.7999,14.1741,13.2112
