MJD,G,err_G,BP,err_BP,RP,err_RP
1667.25247773,10.52648,0.001078,,,,
1667.50262896,11.020685,0.003374,,,,
1667.57663371,10.932532,0.007633,,,,
1667.75276064,10.634337,0.001751,,,,
1667.82679327,10.853664,0.001482,,,,
1668.002938,11.03579,0.002087,,,,
1668.07691999,10.489675,0.005095,,,,
1668.25309926,10.729059,0.001602,,,,
1668.3270839,10.769279,0.011973,,,,
1668.57725954,10.210648,0.005708,,,,
1700.6008298,10.815923,0.005541,,,,
1700.77699347,10.999402,0.00132,,,,
1724.03345182,10.937168,0.008189,,,,
1724.10745847,11.028145,0.009697,,,,
1746.23780949,10.641665,0.003898,,,,
1746.41397193,10.680974,0.000567,,,,
1773.16362865,10.859622,0.001657,,,,
1773.23761482,10.933186,0.001348,,,,
1804.72461843,11.02329,0.000766,,,,
1840.11904171,10.950837,0.003632,,,,
1840.19305992,11.014701,0.001971,,,,
1858.1939681,10.479392,0.00331,,,,
1858.37011089,10.877624,0.006696,,,,
1858.37012333,10.879021,0.004163,,,,
1899.81139878,10.068604,0.001693,,,,
1899.88540356,10.535746,0.00296,,,,
2013.23933097,10.792387,0.001379,,,,
2013.3133576,10.957151,0.002875,,,,
2054.47174867,10.884258,0.000396,,,,
2054.54572666,10.938228,0.000694,,,,
2054.72190958,10.302487,0.003024,,,,
2078.47759763,10.988096,0.001406,,,,
2078.55161002,10.926759,0.002037,,,,
2123.78674632,10.924147,0.002119,,,,
2123.96291426,10.592571,0.002804,,,,
2152.53151863,10.344281,0.001686,,,,
2180.94728777,11.071803,0.000985,,,,
2181.02128745,11.122443,0.001681,,,,
2217.90886435,10.94328,0.000432,,,,
2217.9828966,10.945531,0.003932,,,,
2233.98542246,10.318326,0.002483,,,,
2276.10099909,10.17533,0.001871,,,,
2276.1749779,10.275894,0.001376,,,,
2291.35390477,10.970637,0.000608,,,,
2331.30858977,10.73023,0.001041,,,,
1667.25277421,,,10.671768,0.00163,,
1667.50292872,,,11.241296,0.001733,,
1667.57693268,,,11.136351,0.001664,,
1667.75308361,,,10.815719,0.001508,,
1667.82710158,,,11.085578,0.002451,,
1668.00323885,,,11.262083,0.001804,,
1668.07724301,,,10.607725,0.001361,,
1668.25339445,,,10.939918,0.001609,,
1668.32739871,,,11.132623,0.001648,,
1668.57756871,,,10.301331,0.001948,,
1700.60113286,,,11.086272,0.001752,,
1700.77728827,,,11.226893,0.001853,,
1724.03375703,,,11.182183,0.001802,,
1724.10776526,,,11.281835,0.002216,,
1746.23810456,,,10.790254,0.001349,,
1746.41426658,,,10.88038,0.001443,,
1773.1639266,,,11.072183,0.001465,,
1773.23793709,,,11.171971,0.001577,,
1804.72494144,,,11.256879,0.001624,,
1840.11934476,,,11.181928,0.001594,,
1840.19335526,,,11.258583,0.001778,,
1858.19426332,,,10.64849,0.001394,,
1858.37042636,,,11.130488,0.001542,,
1899.81171219,,,10.149705,0.003145,,
1899.88571064,,,10.70465,0.002184,,
2013.23965405,,,11.017538,0.001542,,
2013.31365791,,,11.204033,0.001547,,
2054.4720439,,,11.117046,0.001572,,
2054.54604935,,,11.172121,0.001531,,
2054.72221577,,,10.409573,0.001898,,
2078.47789775,,,11.210801,0.001552,,
2078.55190509,,,11.121892,0.001504,,
2123.78704165,,,11.161926,0.001603,,
2123.96322852,,,10.73809,0.0038,,
2152.53182463,,,10.456236,0.00169,,
2180.94758416,,,11.33805,0.001744,,
2181.02159474,,,11.363926,0.00167,,
2217.90918695,,,11.183317,0.001575,,
2217.98319692,,,11.149286,0.001518,,
2233.98571732,,,10.449856,0.001191,,
2276.10130581,,,10.255109,0.001564,,
2276.17531201,,,10.388035,0.001643,,
2291.35423285,,,11.201265,0.001569,,
2331.3088882,,,10.897267,0.001581,,
1667.2528635,,,,,10.240534,0.001535
1667.50301735,,,,,10.634677,0.001566
1667.5770218,,,,,10.583765,0.001539
1667.75317146,,,,,10.324162,0.001483
1667.82718999,,,,,10.484727,0.002232
1668.00332579,,,,,10.646735,0.001652
1668.0773445,,,,,10.250114,0.002036
1668.25348037,,,,,10.388467,0.001471
1668.32748534,,,,,10.522753,0.001514
1668.57765427,,,,,10.045168,0.001884
1700.60121952,,,,,10.483143,0.001526
1700.77737643,,,,,10.632929,0.001688
1724.03384374,,,,,10.119134,0.001262
1724.10785184,,,,,10.639063,0.00169
1746.23820525,,,,,10.361369,0.00207
1746.4143555,,,,,10.3528,0.001451
1773.16401517,,,,,10.486058,0.001434
1773.23803887,,,,,10.568823,0.00232
1804.72504316,,,,,10.664264,0.002387
1840.11943148,,,,,10.558973,0.001504
1840.19344053,,,,,10.629752,0.001577
1858.19434928,,,,,10.228862,0.001348
1858.3705158,,,,,10.548291,0.0015
1899.81180101,,,,,9.938257,0.003721
1899.88579885,,,,,10.263485,0.00204
2013.23974132,,,,,10.442241,0.001586
2013.3137442,,,,,10.575454,0.001498
2054.47212934,,,,,10.50857,0.001486
2054.54615091,,,,,10.566395,0.00228
2054.72230482,,,,,10.120471,0.002146
2078.47798492,,,,,10.629541,0.001551
2078.55200603,,,,,10.58839,0.002274
2123.78712726,,,,,10.544435,0.001518
2123.9633083,,,,,10.34157,0.002124
2152.53191357,,,,,10.165119,0.001847
2180.94767056,,,,,10.678318,0.001629
2181.02168398,,,,,10.73316,0.001606
2217.90928861,,,,,10.576867,0.002302
2217.98328357,,,,,10.593639,0.001522
2233.98580372,,,,,10.156638,0.001285
2276.10139397,,,,,10.024446,0.001795
2276.1753994,,,,,10.090451,0.001847
2291.3543204,,,,,10.585241,0.00155
2331.30897378,,,,,10.444847,0.001507
